旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計
圓山大飯店,"5,825","78,644",44.27%,"2,873","225,975,544","501,700,325","856,273,562",143,317,110,40,610
國賓大飯店,"5,064","32,826",21.25%,"2,659","87,271,805","787,146,249","935,187,991",93,269,49,37,448
台北華國大飯店,"3,912","37,120",31.11%,"2,750","102,094,700","134,752,164","250,024,048",44,62,4,36,146
華泰王子大飯店,"2,570","16,307",20.80%,"1,870","30,491,334","107,722,383","161,353,226",47,70,70,8,195
豪景大酒店,"2,508","8,068",10.55%,"2,068","16,681,179","5,186,030","25,397,317",21,6,8,0,35
國王大飯店,"1,164","3,560",10.03%,"1,667","5,934,198","2,786,922","9,271,062",28,10,16,0,54
台北凱撒大飯店,"5,736","64,013",36.59%,"2,506","160,421,210","179,173,690","411,130,720",60,87,26,45,218
康華大飯店,"2,580","9,540",12.12%,"2,217","21,149,498","78,430,228","106,671,704",50,69,33,0,152
兄弟大飯店,"3,000","20,067",21.93%,"2,660","53,372,367","417,321,447","519,253,158",110,295,72,13,490
三德大飯店,"3,444","22,746",21.65%,"2,160","49,132,729","6,705,915","88,094,261",25,7,5,23,60
亞都麗緻大飯店,"2,508","20,183",26.39%,"3,165","63,877,981","147,993,058","261,220,040",55,89,25,36,205
國聯大飯店,"2,916","25,771",28.98%,"1,446","37,264,806","6,748,068","48,718,603",31,10,5,28,74
台北寒舍喜來登大飯店,"8,256","71,883",28.55%,"3,543","254,665,299","1,020,732,433","1,441,281,192",186,446,192,20,844
老爺大酒店,"2,424","30,484",41.23%,"3,045","92,812,141","250,033,678","393,078,744",54,144,22,42,262
福華大飯店,"7,272","48,136",21.70%,"2,890","139,136,425","382,450,736","680,052,771",162,256,58,90,566
台北君悅酒店,"10,200","66,811",21.48%,"4,911","328,076,904","862,622,818","1,367,760,299",89,283,139,57,568
西華大飯店,"4,116","29,974",23.88%,"3,128","93,764,908","156,425,071","281,636,674",70,86,22,61,239
晶華酒店,"6,456","86,949",44.16%,"4,203","365,403,192","1,374,385,419","2,193,435,205",249,576,156,18,999
香格里拉台北遠東國際大飯店,"5,040","36,869",23.98%,"5,086","187,498,597","491,645,027","792,297,925",149,225,66,80,520
神旺大飯店,"3,216","9,107",9.28%,"2,689","24,484,285","272,841,347","316,092,440",32,161,45,0,238
美麗信花園酒店,"2,436","27,701",37.28%,"1,494","41,382,411","36,544,507","112,449,994",56,50,0,28,134
台北寒舍艾美酒店,"1,920","17,352",29.63%,"6,616","114,806,068","527,101,330","734,426,515",84,240,0,76,400
台北W飯店,"4,860","42,467",28.65%,"6,890","292,581,415","348,472,033","725,729,588",137,175,93,0,405
台北萬豪酒店,"3,816","38,114",32.75%,"4,684","178,507,171","595,856,041","985,342,740",118,327,131,0,576
台北美福大飯店,"1,752","16,221",30.36%,"5,115","82,965,847","589,335,505","729,674,696",64,270,68,0,402
*亞士都飯店,440,"1,510",11.27%,"2,265","3,420,636",0,"3,420,636",11,0,6,0,17
*天成大飯店,"2,700","35,764",43.43%,"2,052","73,388,824","226,287,322","322,254,446",54,109,71,58,292
*六福客棧,"2,760","25,451",30.23%,"1,365","34,752,904","28,910,192","68,939,856",1,0,0,0,1
*第一大飯店,"2,112","11,521",17.89%,"1,435","16,529,406","36,725,661","264,866,047",10,0,17,7,34
*慶泰大飯店,"1,800","7,037",12.82%,"2,473","17,399,942","32,514,390","53,248,712",5,17,19,1,42
*洛碁大飯店花華本館,672,"4,337",21.28%,"1,875","8,130,019",0,"8,133,162",0,0,0,0,0
*歐華酒店,"1,344","4,801",11.71%,"2,843","13,651,096","53,823,214","74,452,310",34,45,29,0,108
*福容大飯店  台北一館,"1,440","7,309",16.64%,"2,493","18,218,021","83,448,992","111,061,170",26,52,8,7,93
*國鄉大飯店,"1,548","8,121",17.20%,"2,187","17,757,563","15,845,127","39,950,865",1,4,3,2,10
*台北君品大酒店,"3,432","30,637",29.27%,"3,413","104,569,123","526,180,879","674,775,777",93,167,62,0,322
*台北花園大酒店,"2,892","30,448",34.52%,"1,679","51,113,623","198,643,718","275,031,207",43,87,23,31,184
*日勝生加賀屋國際溫泉飯店,"1,080","17,266",52.42%,"6,824","117,817,842","102,913,788","286,554,341",62,46,35,12,155
*北投麗禧溫泉酒店,792,"10,375",42.95%,"14,019","145,447,549","73,382,938","289,668,332",40,52,7,63,162
*寒舍艾麗酒店,"2,820","33,882",39.39%,"3,965","134,358,467","119,886,551","283,676,239",65,81,27,0,173
*北投老爺酒店,600,"9,598",52.45%,"4,940","47,417,080","39,124,181","100,438,498",21,30,26,13,90
*台北有園飯店,672,"6,367",31.06%,"2,234","14,224,828",0,"25,705,468",10,0,6,1,17
*合尊酒店 S Hotel,"1,212","21,628",58.51%,"3,181","68,805,478","28,444,620","107,184,951",27,16,8,0,51
*台北中山雅樂軒酒店,"1,056","14,195",44.07%,"2,590","36,764,907","7,617,090","49,349,930",18,14,16,5,53
*義華酒店,"1,788","7,696",14.11%,"3,160","24,322,267","1,545,255","40,599,522",7,4,3,4,18
華園大飯店,"3,228","37,809",38.40%,"1,536","58,088,341","35,179,427","101,244,075",30,34,41,0,105
高雄國賓大飯店,"5,436","85,606",51.63%,"2,166","185,427,624","375,712,501","577,259,635",123,156,15,48,342
漢來大飯店,"6,425","87,056",44.42%,"2,813","244,867,468","749,180,322","1,211,365,839",167,453,8,200,828
高雄福華大飯店,"3,252","47,911",48.30%,"2,292","109,801,652","214,301,087","356,687,499",85,163,34,24,306
