項次,旅館名稱,地址,電話,星級標示,營業衛生檢查資料,其他稽查不合格項目,檢查日期
1,大板根渡假酒店,新北市三峽區插角里插角79號,02-26749228,無,符合規定,建築管理：2樓梯廳安全門（門弓器）故障(已完成改善)。,105年11月8日
2,福容大飯店-淡水漁人碼頭,新北市淡水區觀海路83號,02-26287777,5星,符合規定,１、建築管理：8樓東側安全門（門弓器）故障(已完成改善)。2、消防管理：火警受信總機故障，部分開關為未定位狀況。,105年11月8日
3,晶華酒店,臺北市中山區中山北路2段39巷3號,02-2523-8000,5星,符合規定,消防管理：室內消防栓設備放水壓力不足、自動撒水設備流水檢知裝置制水開關閉、火警自動警報設備受信總機故障、探測器未動作、火警警鈴未動作、緊急照明設備故障、梯間排煙設備連動用探測器故障(均已完成改善)。,106年3月8日
4,老爺大酒店,臺北市中山區中山北路2段37之1號,02-2542-3266,5星,符合規定,消防管理：室內消防栓設備放水壓力不足、室內排煙設備排煙閘門故障(均已完成改善)。,106年3月8日
5,國賓大飯店,臺北市中山區中山北路2段63號,02-25511111,5星,符合規定,消防管理：未依消防防護計畫執行防火管理事項(已完成改善)。,106年3月8日
6,新竹喜來登大飯店,新竹縣竹北市十興里光明六路東1段265號,03-6206000,5星,衛生管理不符合規定項目為，未依「人類免疫缺乏病毒傳染防治及感染者保障條例」第10條，營業場所應提供保險套及水性潤滑劑(已完成改善)。,消防管理：1樓出口標示燈其中1具未常亮、機房及停車場火警隔離，但不影響整棟及整體功能(均已完成改善)。,106年3月17日
7,豐邑喜來登大飯店,新竹縣竹北市十興里11鄰光明6路東1段263號,03-5765888,無,衛生管理不符合規定項目為，未依「人類免疫缺乏病毒傳染防治及感染者保障條例」第10條，營業場所應提供保險套及水性潤滑劑(已完成改善)。,消防管理：4樓出口標示燈其中1具未常亮、機房及停車場火警隔離但不影響整棟及整體功能(均已完成改善)。,106年3月17日
8,台北W飯店,臺北市信義區忠孝東路五段10號,02-77038888,無,符合規定,符合規定,106年4月11日
9,晶華酒店,臺北市中山區中山北路2段39巷3號,02-2523-8000,5星,符合規定,消防管理：火警警鈴故障(B3)、排煙量不足(B1香奈兒)、排煙(送風)口故障(均已完成改善)。,106年4月11日
10,華泰王子大飯店,臺北市中山區林森北路369號,02-2581-8111,無,符合規定,消防管理：火警自動警報設備－火警警鈴未動作(已完成改善)。,106年4月11日
11,亞都麗緻大飯店,臺北市中山區民權東路2段41號,02-25971234,5星,符合規定,經營管理：B1原禮物店及商店變更為哺乳室及無障礙廁所使用(已完成改善)。,106年4月12日
12,圓山大飯店,臺北市中山區中山北路4段1號,02-28868888,5星,衛生管理不符合規定項為，松鶴廳冷凍櫃內結霜嚴重及掃具放置餐盤旁，有交叉汙染之虞(已完成改善),消防管理：防護計畫請重新變更製作提報、火警自動警報設備開關未定位(均已完成改善)。,106年4月12日
13,台北美福大飯店,臺北市中山區樂群二路55號,02-77223399,5星,符合規定,經營管理：未標示房價(已完成改善)。,106年4月12日
14,晶悅國際飯店,桃園市桃園區大興路269號,03-3255688,4星,衛生管理不符合規定項目如下(均已完成改善)：(１)烹調區冷藏櫃下有病媒排遺。(２)廚房冷凍冷藏櫃內食材未標示進貨的效限。(３)烹調區排油煙機有油漬不潔。,建築管理：公安申報不合格(已完成改善)。,106年10月12日
15,南方莊園,桃園市中壢區樹籽路8號,03-4202122,無,衛生管理不符合規定項目如下(均已完成改善)：(１)缺中央空調冷卻水塔清洗紀錄。(２)冷凍冷藏庫半成品、食材等未標示品名、效期（或進貨日期），以及食材未離地及防護。(３)西點乾貨區食品添加物（碳酸氫鈉、月光牌泡打粉）未設置專人、專櫃、專冊進行管理。,符合規定,106年10月12日
16,華園大飯店,高雄市前金區六合二路279號,07-2410123,無,衛生管理不符合規定項為未見營業衛生管理人員研習證書，應於107年衛生自主管理人員研習課程開課時，派員1至2位參加，以改善缺失。,符合規定,106年10月16日
17,義大皇家酒店,高雄市大樹區三和村學城路1段153號,07-6568111,5星,衛生管理不符合規定項為未備有衛生自主管理紀錄(已完成改善),符合規定,106年10月16日
18,麗尊大酒店,高雄市苓雅區五福一路105號,07-229-6030,無,符合規定,建築管理：第8樓及16樓樓梯堆積雜物(已完成改善)。,106年10月17日
19,君鴻國際酒店,高雄市苓雅區自強三路1號37至85樓,07-566-8000,5星,符合規定,符合規定,106年10月17日
20,華王大飯店,高雄市鹽埕區五福四路42號,07-5518211,無,衛生管理不符合規定項目為，中央空調冷卻水塔未依規定每半年清洗1次(已完成改善),1、建築管理：不符合規定項目為地下室現況與原核准圖說不符，飯店已委託建築師辦理改善中。２、消防管理：不符合規定項目為高雄市政府消防局業已於106年7月28日派員檢查消防安全設備在案，現場火警自動警報設備、自動灑水設備、廚房簡易自動滅火設備、標示設備、緊急照明設備不符合規定(已完成改善)。,106年10月17日
21,東方渡假酒店,屏東縣東港鎮鵬灣大道2段1號,08-8338933,無,符合規定,符合規定,106年10月23日
22,墾丁福華渡假飯店,屏東縣恆春鎮墾丁路2號,08-8862323,5星,符合規定,符合規定,106年10月24日
23,凱撒大飯店,屏東縣恆春鎮墾丁路6號,08-8861888,5星,符合規定,符合規定,106年10月24日
24,長榮鳳凰酒店(礁溪),宜蘭縣礁溪鄉健康路77號,03-9109988,5星,符合規定,建築管理：頂樓原核准景觀池及瞭望台，未經許可變更為泡湯池及雲頂廳(已完成改善)。,106年10月26日
25,礁溪老爺大酒店,宜蘭縣礁溪鄉大忠村五峰路69號、69-1號,03-9886288,5星,符合規定,建築管理：原地面層汽車停車位(1格停車位)變更為景觀植栽區、B2層汽車停車位封閉變更為儲物區(2格停車位)、B3層汽車停車位變更為儲物區併封閉使用及變更為機車停車位(已完成改善)。,106年10月26日
26,板橋凱撒大飯店,新北市板橋區縣民大道二段8號,02-89538999,無,符合,一、建築管理不符合規定(已完成改善）：1.屋突一層未有公安申報紀錄簡圖。2.屋突一層梯廳未檢附室內裝修證明文件。二、職安管理不符合規定(已完成改善）：1.鍋爐房未有禁止進入標示。2.鍋爐壓力錶未標示最高使用壓力。3.鍋爐操作人員證書未放置明顯處。4.柴油未有安全資料表。5.酒精分裝瓶未有危害圖示及內容。,107年10月19日
27,福容大飯店淡水漁人碼頭,新北市淡水區觀海路83號,02-26287777,五星,符合,一、消防管理不符合規定（已完成改善）：1.地毯未使用防焰標示物品。2.室內消防栓設備：箱內裝備不足。3.火警自動警報設備：火警分區迴路故障。4.出口標示燈故障。5.室內排煙設備：連動探測器故障。二、職安管理不符合規定（已完成改善）：1.鍋爐壓力表錶未標示最高使用壓力。2.強力除油劑安全資料表未每3年檢討1次。,107年10月19日
28,新竹國賓大飯店,新竹市東區中華路2段188號,03-5151111,五星,符合,職安管理不符合規定事項（已完成改善）：未對第二種壓力電器實施自動檢查,107年10月16日
29,苗栗兆品酒店,苗栗縣竹南鎮公園路106號,037-539888,四星,衛生不符合規定（已完成改善）：冷凍冰箱部分食材落地。,一、消防管理不符合規定（已完成改善）：1.火警發信機故障。2.消防幫浦底閥故障。3.缺排煙設備手動啟動開關標示二、泳池管理不符合規定（已完成改善）：1.1名救生員證照逾期。2.救生器材品項不足。3.泳池未提供自主管理計畫。,107年10月16日
30,新竹老爺大酒店,新竹市東區光復路1段227號,03-5631122,五星,符合,職安管理不符合規定（已完成改善）：1.變更職安主管未重新報備。2.為未對工程部作業可能發生之危害進行檢視、評估及控制。3.安全衛生工作守則內容未訂定健康指導與管理措施。,107年10月16日
31,華泰王子大飯店,臺北市中山區林森北路369號,02-25818111,無,符合,符合,107年8月22日
32,國王大飯店,臺北市中山區南京東路1段118號,02-25811111,無,符合,符合,107年8月22日
33,台北萬豪酒店,臺北市中山區樂群二路199號,02-85029999,無,符合,一、職安管理不符合規定（已完成改善）：違反職安法規應依限完成改善。二、泳池管理不符合規定（已完成改善）：現場救生員照過期。,107年8月22日
34,福華大飯店,臺北市大安區仁愛路3段160號,02-27002323,五星,符合,一、經營管理不符合規定（已完成改善）：抽查815號客房之房型及定價未揭露貴飯店房價表中。二、職安管理不符合規定（已完成改善）：工作守則尚未報備備查。三、泳池管理不符合規定（已完成改善）：現場救生員證照不符規定。,107年8月21日
35,香格里拉台北遠東國際大飯店,臺北市大安區敦化南路2段201號,02-23788888,五星,符合,符合,107年8月21日
36,晶華酒店,臺北市中山區中山北路2段39巷3號,02-25238000,五星,符合,建築管理不符合規定（已完成改善）：20樓（電梯顯示21樓）排煙室堆積雜物。,107年8月21日
37,雲品溫泉酒店日月潭,南投縣魚池鄉水社村中正路23號,049-2856788,五星,符合,符合,107年6月8日
38,涵碧樓大飯店,南投縣魚池鄉水社村中興路142號,049-2855311,無,符合,符合,107年6月8日
39,日月行館,南投縣魚池鄉水社村中興路139號,049-2855555,無,符合,消防管理不符合規定（已完成改善）：防火管理不符規定,107年6月8日
40,國賓大飯店,臺北市中山區中山北路2段63號,02-25511111,五星,符合,符合,107年4月26日
41,豪景大酒店,臺北市萬華區環河南路1段77號,02-23113131,無,衛生不符合規定事項（已完成改善）：1.設備不潔有裂縫。2.已處理之食材未加蓋。,符合,107年4月26日
