旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計
圓山大飯店,5825,78644,0.4427,2873,225975544,501700325,856273562,143,317,110,40,610
國賓大飯店,5064,32826,0.2125,2659,87271805,787146249,935187991,93,269,49,37,448
台北華國大飯店,3912,37120,0.3111,2750,102094700,134752164,250024048,44,62,4,36,146
華泰王子大飯店,2570,16307,0.208,1870,30491334,107722383,161353226,47,70,70,8,195
豪景大酒店,2508,8068,0.1055,2068,16681179,5186030,25397317,21,6,8,0,35
國王大飯店,1164,3560,0.1003,1667,5934198,2786922,9271062,28,10,16,0,54
台北凱撒大飯店,5736,64013,0.3659,2506,160421210,179173690,411130720,60,87,26,45,218
康華大飯店,2580,9540,0.1212,2217,21149498,78430228,106671704,50,69,33,0,152
兄弟大飯店,3000,20067,0.2193,2660,53372367,417321447,519253158,110,295,72,13,490
三德大飯店,3444,22746,0.2165,2160,49132729,6705915,88094261,25,7,5,23,60
亞都麗緻大飯店,2508,20183,0.2639,3165,63877981,147993058,261220040,55,89,25,36,205
國聯大飯店,2916,25771,0.2898,1446,37264806,6748068,48718603,31,10,5,28,74
台北寒舍喜來登大飯店,8256,71883,0.2855,3543,254665299,1020732433,1441281192,186,446,192,20,844
老爺大酒店,2424,30484,0.4123,3045,92812141,250033678,393078744,54,144,22,42,262
福華大飯店,7272,48136,0.217,2890,139136425,382450736,680052771,162,256,58,90,566
台北君悅酒店,10200,66811,0.2148,4911,328076904,862622818,1367760299,89,283,139,57,568
西華大飯店,4116,29974,0.2388,3128,93764908,156425071,281636674,70,86,22,61,239
晶華酒店,6456,86949,0.4416,4203,365403192,1374385419,2193435205,249,576,156,18,999
香格里拉台北遠東國際大飯店,5040,36869,0.2398,5086,187498597,491645027,792297925,149,225,66,80,520
神旺大飯店,3216,9107,0.0928,2689,24484285,272841347,316092440,32,161,45,0,238
美麗信花園酒店,2436,27701,0.3728,1494,41382411,36544507,112449994,56,50,0,28,134
台北寒舍艾美酒店,1920,17352,0.2963,6616,114806068,527101330,734426515,84,240,0,76,400
台北W飯店,4860,42467,0.2865,6890,292581415,348472033,725729588,137,175,93,0,405
台北萬豪酒店,3816,38114,0.3275,4684,178507171,595856041,985342740,118,327,131,0,576
台北美福大飯店,1752,16221,0.3036,5115,82965847,589335505,729674696,64,270,68,0,402
*亞士都飯店,440,1510,0.1127,2265,3420636,0,3420636,11,0,6,0,17
*天成大飯店,2700,35764,0.4343,2052,73388824,226287322,322254446,54,109,71,58,292
*六福客棧,2760,25451,0.3023,1365,34752904,28910192,68939856,1,0,0,0,1
*第一大飯店,2112,11521,0.1789,1435,16529406,36725661,264866047,10,0,17,7,34
*慶泰大飯店,1800,7037,0.1282,2473,17399942,32514390,53248712,5,17,19,1,42
*洛碁大飯店花華本館,672,4337,0.2128,1875,8130019,0,8133162,0,0,0,0,0
*歐華酒店,1344,4801,0.1171,2843,13651096,53823214,74452310,34,45,29,0,108
*福容大飯店  台北一館,1440,7309,0.1664,2493,18218021,83448992,111061170,26,52,8,7,93
*國鄉大飯店,1548,8121,0.172,2187,17757563,15845127,39950865,1,4,3,2,10
*台北君品大酒店,3432,30637,0.2927,3413,104569123,526180879,674775777,93,167,62,0,322
*台北花園大酒店,2892,30448,0.3452,1679,51113623,198643718,275031207,43,87,23,31,184
*日勝生加賀屋國際溫泉飯店,1080,17266,0.5242,6824,117817842,102913788,286554341,62,46,35,12,155
*北投麗禧溫泉酒店,792,10375,0.4295,14019,145447549,73382938,289668332,40,52,7,63,162
*寒舍艾麗酒店,2820,33882,0.3939,3965,134358467,119886551,283676239,65,81,27,0,173
*北投老爺酒店,600,9598,0.5245,4940,47417080,39124181,100438498,21,30,26,13,90
*台北有園飯店,672,6367,0.3106,2234,14224828,0,25705468,10,0,6,1,17
*合尊酒店 S Hotel,1212,21628,0.5851,3181,68805478,28444620,107184951,27,16,8,0,51
*台北中山雅樂軒酒店,1056,14195,0.4407,2590,36764907,7617090,49349930,18,14,16,5,53
*義華酒店,1788,7696,0.1411,3160,24322267,1545255,40599522,7,4,3,4,18
華園大飯店,3228,37809,0.384,1536,58088341,35179427,101244075,30,34,41,0,105
高雄國賓大飯店,5436,85606,0.5163,2166,185427624,375712501,577259635,123,156,15,48,342
漢來大飯店,6425,87056,0.4442,2813,244867468,749180322,1211365839,167,453,8,200,828
高雄福華大飯店,3252,47911,0.483,2292,109801652,214301087,356687499,85,163,34,24,306
寒軒國際大飯店,4560,46169,0.332,1963,90619895,139482809,239343534,91,85,28,21,225
麗尊大酒店,2256,25016,0.3636,2276,56941872,136496406,200902605,43,65,11,16,135
義大皇家酒店,7872,94883,0.3952,3005,285098968,214976817,549089564,71,169,95,78,413
*福容大飯店 高雄,3000,37583,0.4107,2049,77018683,39493084,116654749,36,23,10,4,73
*晶英國際行館,1764,15056,0.2798,7221,108715569,156028215,294021015,65,95,60,0,220
全國大飯店,2136,23927,0.3673,2124,50821384,107919328,195766399,34,74,18,19,145
長榮桂冠酒店(台中),4248,65103,0.5025,2212,144009509,262768864,454089036,90,126,50,4,270
台中福華大飯店,1860,31057,0.5475,2582,80187849,105830953,216757229,41,75,17,29,162
台中金典酒店,2664,43532,0.5358,2824,122919313,182968199,406202457,109,96,60,18,283
海灣藝術酒店,2712,22738,0.2749,2056,46748413,5507236,54921733,27,10,9,5,51
*裕元花園酒店,1788,31031,0.569,2953,91636989,265157876,406700047,60,133,21,33,247
*台中港酒店,2400,45523,0.6219,2635,119954552,25846002,156562724,51,18,17,8,94
花蓮亞士都飯店,2005,24679,0.4036,1254,30944768,14415589,45693082,20,6,6,0,32
花蓮翰品酒店,2364,49913,0.6923,2672,133375677,100979233,241826439,52,55,23,0,130
美侖大飯店,4116,49915,0.3976,2274,113503850,51602281,171189557,53,56,10,73,192
遠雄悅來大飯店,4572,97128,0.6965,3125,303560574,184347000,573114528,104,86,34,82,306
瑞穗天合國際觀光酒店,2376,49150,0.6782,7552,371156893,179911481,637504503,84,65,73,47,269
晶悅國際飯店,2295,7637,0.1097,1852,14144063,23412424,40990012,15,48,19,14,96
尊爵天際大飯店,3000,25913,0.2832,2159,55949783,282498416,340614206,28,47,13,13,101
南方莊園渡假飯店,1332,19376,0.4769,3749,72638059,136346445,257644521,36,60,28,17,141
台北諾富特華航桃園機場飯店,6192,59769,0.3165,3020,180524555,122346657,339310215,64,106,51,11,232
桃園喜來登酒店,2280,19444,0.2796,2031,39497371,91871728,143046893,46,64,26,11,147
名人堂花園大飯店,1536,17735,0.3786,5132,91019284,186867629,369237402,113,186,129,19,447
新竹喜來登大飯店,4632,66586,0.4713,2786,185477461,361656935,614578878,65,137,14,76,292
新竹老爺大酒店,2496,30908,0.406,2675,82673400,129573419,222830605,42,82,46,7,177
新竹國賓大飯店,3084,36007,0.3828,2735,98489941,342103164,480781780,81,176,40,14,311
*尊爵大飯店,2772,14648,0.1733,2624,38431372,112537838,168027485,12,46,17,21,96
*古華花園飯店,3060,45260,0.4849,2539,114932604,198746088,325710986,53,114,12,21,200
*福容大飯店   桃園,2184,19208,0.2884,2116,40640864,48777147,94485847,26,30,7,10,73
*福容大飯店 林口,1788,20616,0.378,2352,48483879,22061873,70838273,23,22,9,0,54
*豐邑喜來登大飯店,4608,14207,0.1011,2930,41631356,40085718,88621016,40,17,14,20,91
*馥藝金鬱金香酒店,2292,31735,0.454,2223,70549701,45070480,118312491,32,31,24,0,87
和逸飯店桃園青埔館,1526,26199,0.5616,4686,122770881,112027572,238161403,75,89,8,23,195
陽明山中國麗緻大飯店,564,6337,0.3684,3907,24761223,26049387,78207995,16,17,5,10,48
趣淘漫旅,2376,47536,0.656,2893,137504508,34551006,194947760,30,19,0,43,92
